Setting,Accuracy,F1,ROC_AUC,PR_AUC
"RF - all features, no SMOTE",0.9370909321980047,0.1,0.8837721940205061,0.5083596073544736
RF - all features + SMOTE,0.9180911228315435,0.4493806065783853,0.8633116077116504,0.45082028589132794
RF - FS + SMOTE,0.915930609391879,0.4285097192224622,0.8544750699697226,0.40536455289355033
"Stacking - tuned, FS",0.8314799517061702,0.3637236084452975,0.8708543933527916,0.48902763937204
