threshold,accuracy,f1,precision,recall,avg_cost
0.1,0.11183834275910275,0.12997198879551822,0.0695026962252846,1.0,0.8881616572408972
0.15000000000000002,0.17093473978521956,0.13750247901103987,0.07384790172548462,0.9961685823754789,0.8300819724216814
0.2,0.3714176780834975,0.17069081153588195,0.09353178978316795,0.975095785440613,0.6351909512613586
0.25,0.5274194573298596,0.2085772054911142,0.11732311744283491,0.9386973180076629,0.48884793798055537
0.30000000000000004,0.6309970134078923,0.24338762214983714,0.14085356658120948,0.8946360153256705,0.3969625722818835
0.35,0.7055347270763169,0.2763897564022486,0.16511194029850745,0.8477011494252874,0.33487958314799515
0.4,0.7594840185549978,0.3079173523496069,0.1902824858757062,0.8065134099616859,0.2918599478934994
0.45000000000000007,0.8001525068310351,0.3394244906532241,0.21737960721011568,0.7739463601532567,0.25983351337612
0.5,0.8314799517061702,0.3637236084452975,0.24263764404609475,0.7260536398467433,0.24121497108724663
0.55,0.8573425684692126,0.39176374966133837,0.2731394030978466,0.6925287356321839,0.22424858613458729
0.6,0.8760246552710174,0.41217234106658635,0.30065934065934063,0.6551724137931034,0.21547944335006672
0.65,0.8945796530469594,0.43590615436926217,0.3379019504480759,0.6139846743295019,0.2078541017983097
0.7000000000000001,0.9084959013789159,0.4557823129251701,0.37640449438202245,0.5775862068965517,0.20359661943191207
0.75,0.9187901124737878,0.46616541353383456,0.41333333333333333,0.5344827586206896,0.2047404206646756
0.8,0.9270508991548579,0.470479704797048,0.45373665480427045,0.4885057471264368,0.20868018046641673
0.85,0.9351210522971342,0.47343991748323877,0.5128491620111731,0.4396551724137931,0.21357310796212747
0.9,0.9412213255385398,0.46252178965717605,0.5878877400295421,0.38122605363984674,0.2229776958759611
