train_year_min,train_year_max,test_year,n_train,n_test,Accuracy,F1,ROC_AUC,PR_AUC
1999,1999,2000,5308,5226,0.9050899349406812,0.34564643799472294,0.7561768256875459,0.3087111212441311
1999,2000,2001,10534,4897,0.8974882581172147,0.35805626598465473,0.7690513060073428,0.3067215481602141
1999,2001,2002,15431,4651,0.9028165985809503,0.3825136612021858,0.8044555725441503,0.39449151113668857
1999,2002,2003,20082,4417,0.901743264659271,0.42592592592592593,0.8191030990528831,0.38963497472982056
1999,2003,2004,24499,4348,0.8992640294388224,0.4128686327077748,0.8153373717189163,0.3838075785960778
1999,2004,2005,28847,4205,0.8972651605231867,0.37572254335260113,0.8206956430588103,0.35750125395012294
1999,2005,2006,33052,4128,0.8984980620155039,0.35239567233384855,0.8214892671320627,0.37562379766609405
1999,2006,2007,37180,4009,0.9029683212771265,0.39313572542901715,0.8313327304785241,0.34837974206403904
1999,2007,2008,41189,3857,0.8908478091781177,0.25749559082892415,0.7606678413610688,0.21754497030756786
1999,2008,2009,45046,3743,0.9110339300026716,0.3105590062111801,0.8133237365212288,0.27734868541320856
1999,2009,2010,48789,3625,0.9211034482758621,0.34101382488479265,0.8285074172709721,0.28688382186372996
1999,2010,2011,52414,3513,0.9197267292912041,0.3188405797101449,0.8292104502971023,0.2872315787520058
1999,2011,2012,55927,3485,0.9193687230989956,0.32935560859188545,0.8611185968134197,0.30210789867796495
1999,2012,2013,59412,3484,0.9299655568312285,0.3869346733668342,0.8613565753629913,0.36322547365811775
1999,2013,2014,62896,3504,0.9323630136986302,0.3542234332425068,0.8403804743990415,0.2912055193806125
1999,2014,2015,66400,3354,0.928741800834824,0.2691131498470948,0.8572309589885908,0.23377920308537103
1999,2015,2016,69754,3191,0.9379504857411469,0.27205882352941174,0.8453350079856103,0.2618767643130383
1999,2016,2017,72945,3014,0.9439283344392834,0.2928870292887029,0.8970151113326095,0.3582239309975272
1999,2017,2018,75959,2723,0.9438119720896071,0.17297297297297298,0.9091510565273127,0.19604380600587004
